0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 
100, 0, 250, 0, 0, 200, 0, 475, 0, 0, 0, 0, 
0, 250, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 0, 
100, 0, 0, 0, 0, 250, 0, 0, 200, 0, 0, 0, 
0, 200, 0, 0, 250, 0, 200, 0, 0, 50, 0, 0, 
0, 0, 0, 0, 0, 200, 0, 150, 0, 0, 200, 0, 
0, 475, 0, 100, 0, 0, 150, 0, 0, 0, 0, 200, 
0, 0, 0, 0, 200, 0, 0, 0, 0, 100, 0, 0, 
0, 0, 0, 0, 0, 50, 0, 0, 100, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 100, 
0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 100, 0, 
