0, 100, 0, 0, 200, 420, 0, 0, 650, 0, 0, 0, 0, 0, 0, 0, 
100, 0, 300, 0, 100, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 300, 0, 300, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 300, 0, 0, 0, 200, 300, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 100, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
420, 0, 0, 0, 200, 0, 300, 0, 0, 100, 0, 0, 0, 0, 0, 0, 
0, 500, 150, 200, 0, 300, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 300, 0, 0, 500, 0, 0, 0, 0, 300, 0, 0, 0, 0, 
650, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 
0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 620, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 620, 0, 100, 0, 0, 100, 0, 
0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 100, 0, 0, 0, 0, 100, 
0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 200, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 200, 0, 320, 
